city,state,country,2017,2018,2019,2020,2021,2022,2023,2024,2025
Buena Vista,CO,US,,,,,13,24,14,13,12
Buffalo,NY,US,8,8,6,6,6,6,8,9,10
Buffalo Grove,IL,US,,,,,,,,31,21
Buford,GA,US,,,,,,15,15,20,20
Buhl,ID,US,,,,,,,9,9,9
Bunbury,WA,AU,,,,,,27,,28,30
Bundaberg,QLD,AU,,,,,,31,,33,35
Burbank,CA,US,,,,,,,28,33,36
Burke,VA,US,15,15,15,19,20,22,25,27,27
Burleson,TX,US,,,,,,12,12,13,13
Burlingame,CA,US,36,36,36,36,35,38,38,39,41
Burlington,IA,US,35,36,35,22,22,26,26,26,26
Burlington,ON,CA,,,,,,,45,46,43
Burlington,VT,US,20,24,48,53,52,64,61,63,61
Burnaby,BC,CA,,,,,41,42,44,46,46
Burnham,PA,US,,,,,,,,16,17
Bury,(NA),GB,,,,,,33,23,39,40
Butte,MT,US,,33,33,33,30,30,30,37,43
Caddo Mills,TX,US,,,,,,32,32,28,29
Cadillac,MI,US,,,,,,,55,58,60
Caguas,PR,US,,,,,,,,,21
Cairns,QLD,AU,,,,,,28,,32,34
Cairo,GA,US,,,,,,,,10,10
Calais,HDF,FR,,,,,,,66,69,71
Caldwell,ID,US,,,,,,,,,7
Caledon,ON,CA,,,,,,,,,52
Calgary,AB,CA,,,44,45,59,58,60,62,64
California,MD,US,,,,,,,,22,23
Calimesa,CA,US,,,,,,,,38,34
Calistoga,CA,US,,,,,,,,,58
Calumet,MI,US,,,,,,,,59,67
Camano,WA,US,,,,,,,,,27
Camarillo,CA,US,,,,,16,16,16,16,16
Cambridge,(NA),GB,,,,,,,,84,84
Cambridge,MA,US,23,32,23,36,49,52,72,72,68
Camden,(NA),GB,,,,,,61,,77,77
Camden,ME,US,,,,,,,,29,35
Camden,NJ,US,,21,30,30,30,30,24,33,35
Camp Hill,PA,US,,,,,,33,28,29,30
Campton,KY,US,,,,,,,,32,32
Canandaigua,NY,US,,,,,,,8,8,9
Canberra,ACT,AU,,,,61,58,53,,55,56
Canfield,OH,US,,,,,,,40,43,41
Canmore,AB,CA,,,,,,,61,72,74
Canterbury,(NA),GB,,,,,,,,,58
Canton,GA,US,,,,,,15,16,16,16
Canton,OH,US,,16,15,14,14,15,20,21,22
Canton Valley,CT,US,,,,,,,37,38,40
Cape Canaveral,FL,US,,,,,,,26,29,30
Cape Charles,VA,US,,,,,,,,56,68
Cape Coral,FL,US,,,,,6,6,5,5,6
Cape Girardeau,MO,US,,,,,,,,19,23
Capitol Heights,MD,US,,,,,,,9,10,11
Capitola,CA,US,,,,16,16,16,16,17,17
Carbondale,CO,US,,,,,,,,,35
Cardiff,(NA),GB,,,,,,,67,70,71
Carlisle,PA,US,,,,34,39,39,35,34,37
Carlsbad,CA,US,,25,16,18,21,19,21,24,26
Carlsbad,NM,US,,,,,,,,,7
Carmel,IN,US,51,54,49,54,55,55,54,55,53
Carmel,NY,US,,,,,,,,24,25
Carmel-by-the-Sea,CA,US,,,,,,,,54,54
Carolina,PR,US,,,,,,,,,27
Carolina Beach,NC,US,,,,,,,,,34
Carpentersville,IL,US,,,,,,,19,20,20
Carpinteria,CA,US,,,31,30,31,31,31,30,31
Carrboro,NC,US,,,,,,,37,38,38
Carroll,IA,US,,,,,,,,78,78
Carrollton,GA,US,,,18,16,16,16,18,19,19
Carrollton,TX,US,,,,,7,9,10,11,12
Carson,CA,US,,,,,,,14,18,19
Carson City,NV,US,,27,25,29,36,37,40,41,40
Carterville,IL,US,,,,,,,,8,8
Cary,IL,US,,,,,,18,17,21,21
Cary,NC,US,,,,20,33,33,33,35,34
Casa Grande,AZ,US,,,,,,39,39,39,37
Cascade,ID,US,,,,,,,10,10,10
Cascade Locks,OR,US,,,,,,,,49,48
Cashmere,WA,US,,,,,,,,,24
Casper,WY,US,41,40,41,5,5,5,5,5,5
Casselberry,FL,US,,,,,6,6,8,8,8
Castle Pines,CO,US,,,,,,26,25,27,26
Castle Rock,CO,US,,,,,,24,23,24,27
Castro Valley,CA,US,,,,,,,19,19,19
Catonsville,MD,US,,,,,,,,,14
Catskill,NY,US,,,,,,,14,15,15
Cave Junction,OR,US,,,,,,,,,55
Cañon City,CO,US,,,,,,,7,7,7
Cedar City,UT,US,,,,,,36,25,29,31
Cedar Falls,IA,US,,,,,44,49,50,51,52
Cedar Grove,NJ,US,,,,,,,18,18,18
Cedar Hill,TX,US,,,,,,10,11,11,12
Cedar Rapids,IA,US,,20,20,26,24,26,28,29,29
Cedar Springs,MI,US,,,,,,,,,37
Celina,TX,US,,,,,,14,14,14,14
Centennial,CO,US,,,,,,12,13,13,13
Centerton,AR,US,,,,,,,10,10,11
Centerville,OH,US,,28,26,27,27,28,32,34,34
Centerville,UT,US,,,,19,19,20,31,33,34
Central City,CO,US,,,,,,10,10,11,11
Central Coast,NSW,AU,,,,,,25,,27,30
Centralia,IL,US,,,,,,,,9,9
Chambersburg,PA,US,,,,,,,,24,26
Chamblee,GA,US,,,,,,9,8,10,11
Chambly,QC,CA,,,,,,,74,81,82
Chambéry,ARA,FR,,,,,,,65,72,78
Champaign,IL,US,41,39,28,16,20,21,23,24,24
Chandler,AZ,US,,21,23,23,25,28,26,27,27
Chanhassen,MN,US,,,,,31,31,29,29,30
Chantilly,VA,US,,,,,,,33,33,35
Chapel Hill,NC,US,,39,33,32,32,32,34,36,37
Charleston,SC,US,,22,16,7,7,7,9,10,10
Charleston,WV,US,,22,21,22,24,26,21,22,21
Charlevoix,MI,US,,,,,,,,,54
Charlotte,NC,US,20,22,12,12,23,25,29,30,32
Charlottesville,VA,US,17,17,16,19,21,24,23,26,27
Charlottetown,PE,CA,,,,,,,,,44
Chaska,MN,US,,,,,,,,,31
Chatham-Kent,ON,CA,,,,,,,,,40
Chattanooga,TN,US,22,21,21,20,20,20,20,22,24
Chautauqua,NY,US,,,,,,53,67,68,68
Chelmsford,MA,US,,,,,,,7,8,8
Chelsea,MA,US,,,,,,,,4,5
Chelsea,MI,US,,,,,56,56,50,51,46
Chelsea,QC,CA,,,,,,,62,61,62
Chemnitz,(NA),DE,,,,,,,,,52
Cherry Hill,NJ,US,,,,,25,25,26,27,26
Cherry Hills Village,CO,US,,,,,,17,20,21,19
Chesapeake,VA,US,20,20,22,22,22,19,20,21,21
Chester,(NA),GB,,,,,,,,66,66
Chester,MD,US,,,,,,16,16,23,25
Chester,NJ,US,,,,,,,,40,38
Chester,VA,US,,,,,,,,28,27
