City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Alamo,Alamo CDP,CA,California,600618,United States,1ed95783-7290-43e1-87b6-0491f4a54e28,2021,60.898,43.206,41.586,62.02,51.9275,52,26,35.51,30.66,37.46,0,0,34.06,1.33,0,3.09,2.24,22.39,0,7.89,21.21,45.56,36.86,34.88,39.85,0,26.91,189.6,27.1,31.9135,32,14905,216,small,93,16,25,Pacific,37.8546013,-122.0129845
Manhattan,New York County,NY,New York,36061,United States,1ece8a1a-b1b9-428e-bd1c-09d90dab309b,2021,54.504,47.648,48.356,70.168,55.169,55,1099,49.9,44.45,70.51,45.07,58.8,56.5,56.84,54.23,58.15,66.9,74.79,57,62.36,30.15,73.53,66.08,50.98,65.29,63.12,55.04,636,402.8,55.0658,55,1631993,26,large,3,2,25,Mid-Atlantic,40.7831,-73.9712
Dublin,Dublin city,OH,Ohio,3922694,United States,1e5859ae-bd00-4822-982c-3efcb877c5f7,2021,61.494,46.35,38.146,63.936,52.4815,52,29,39.05,32.49,40.07,25.32,19.37,31.8,11.02,9.03,14.51,20.22,24.45,17.76,16.81,28.25,70,74.81,31.78,62.13,0,34.28,629.5,180.4,37.9203,38,46499,133,small,60,5,25,Midwest,40.1133035,-83.1457745
Fort Smith,,AR,Arkansas,524550,United States,1e537e6b-db1e-4992-8aca-30ac4be5f804,2021,0,0,0,0,0,0,0,10.95,7.72,8.73,0,10.12,8.65,3.26,3.42,2.91,0.62,3.9,2.63,3.01,0,7.19,0,2.48,3.5,0.09,5.31,43.3,1243,5.31,5,87895,661,medium,284,8,30,South,35.3492757,-94.370883
Severna Park,Severna Park CDP,MD,Maryland,2471200,United States,1e2c879b-265b-4de4-95a0-8dde7d8c6b96,2021,44.334,31.666,40.25,65,45.3125,45,25,17.73,15.25,29.89,3.97,0,20.25,3.37,10.12,0,5.37,18.82,5.69,7.78,20.96,32.48,16.84,0,18.89,0,16.76,43.7,381.4,22.4705,22,38188,415,small,183,5,30,Mid-Atlantic,39.0866332,-76.5648831
Watertown,Watertown city,WI,Wisconsin,5583975,United States,1da3e14b-aa54-447c-b27d-87a7b873a93b,2021,37.634,35.538,43.146,66.734,45.763,46,31,30.58,30.77,34.84,14.2,15.89,27.56,13.78,0,11.72,1.36,31.8,33.73,20.27,42.05,53.29,0,0,53.29,0,33.48,215.5,55.6,35.9366,36,23633,165,small,74,10,25,Midwest,43.1894048,-88.7289095
Lexington,Lexington-Fayette urban county,KY,Kentucky,2146027,United States,1d277fa7-2ba5-40d7-9791-92ee9b95ded5,2021,49.074,44.914,45.512,65.972,51.368,51,117,14.32,10.39,13.64,10.19,16.04,12.64,4.14,3.36,12.12,4.47,12.46,6.87,8.18,7.13,24.08,6.81,7.54,13.9,2.85,9.89,496.9,2698.9,18.1856,18,320601,511,large,57,1,35,South,38.0406759,-84.4582738
Issaquah,Issaquah city,WA,Washington,5333805,United States,1cde7a23-d906-4ed6-ba68-e5f8e67668db,2021,58.552,41.864,42.928,74.89,54.5585,55,38,35.53,26.5,41.62,0,0,34.06,37.4,28.93,32.02,14.99,18.88,14.47,25.17,28.04,62.53,39.06,20.03,43.69,34.59,33.12,298.2,79,37.4077,37,37965,144,small,65,2,25,Pacific,47.541776,-122.0457599
Waterloo,Waterloo city,IA,Iowa,1982425,United States,1cb5374e-ae1e-4bc7-b6af-37b5fc16573b,2021,54.348,49.528,47.01,60.87,52.939,53,46,38.82,28.97,45.48,14.47,55.41,38.59,14.2,0,34.71,17.89,14.52,0,20.27,19.05,58.78,41.85,1.98,38.65,4.46,26.92,818.2,313,32.1238,32,67912,212,medium,91,7,25,Midwest,42.4923267,-92.3519473
St. Cloud,St. Cloud city,MN,Minnesota,2756896,United States,1c9b8b14-48ae-4763-a0cc-8e7e5be16cfa,2021,49.256,34.33,44.308,70.09,49.496,49,56,12.22,9.13,4.28,5.67,15.42,8.34,7.51,0.42,4.9,1.6,1.69,0,3.65,4.05,20.07,13.88,0.37,12.98,4.88,7.52,124,661.2,15.9152,16,68001,578,medium,258,5,30,Midwest,45.5266578,-94.1710067
Lee's Summit,Lee's Summit city,MO,Missouri,2941348,United States,1c439410-4352-46e7-988c-69aaf0d6ad3c,2021,35.38,43.2,46.4,67.4,48.08,48,102,39.36,32.64,35.24,31.68,0,33.66,16.1,12.83,2.56,18.36,31.39,31.15,19.37,15.98,51.33,37.33,14.65,37.26,33.19,29.47,983,268.7,34.0551,34,97275,188,medium,79,2,25,Midwest,38.9216011,-94.3847631
Charleston,Charleston city,SC,South Carolina,4513330,United States,1be2e48a-54c5-45bf-8609-c7504820bdb8,2021,42.368,28.992,47.368,72.434,47.7905,48,95,35.71,24.26,45.87,0.83,0,30.79,16.22,0,26.09,19.47,25.9,26.32,23.15,26.79,31.47,4.95,16.1,18.35,3.9,23.5,614.1,151.4,28.3581,28,135257,284,medium,123,1,30,South,32.8179166,-79.958968
Murfreesboro,Murfreesboro city,TN,Tennessee,4751560,United States,1b7a40d8-89ee-4cb7-a680-d36f511448c3,2021,37.554,34.08,43.994,65.07,45.1745,45,77,37.64,22.6,30.41,25.39,34.79,28.05,12.64,21.27,15.59,14.67,26.79,0,18.75,8.62,30.77,14.19,0,23.03,30.8,24.37,1014.1,294.6,28.5309,29,136366,279,medium,118,2,25,South,35.8539148,-86.4212238
Dundee,,NY,New York,3621050,United States,1b593cac-c466-49b0-a654-d4062232f618,2021,0,0,0,0,0,0,0,28.32,27.08,0,0,0,27.08,0,0,0,0,0,0,,0,0,0,0,,0,27.61,0,20.8,27.61,28,1653,305,small,131,1,30,Mid-Atlantic,42.523599,-76.9774202
La Mesa,,CA,California,640004,United States,1b56e4cb-e324-4e5f-be00-30dc91197e9d,2021,0,0,0,0,0,0,0,26.63,17.15,46.31,4.67,10.54,24.79,1.04,20.54,5.88,3.19,36.55,2.99,13.34,32.77,43.94,0,1.6,27.66,21.14,23.86,231.1,110.3,23.86,24,59556,390,medium,174,28,25,Pacific,32.7694947,-117.0219232
Johnson City,Johnson City city,TN,Tennessee,4738320,United States,1b213d02-1be3-40be-b9ab-c729d6a33748,2021,42.804,61.376,42.804,76.326,55.8275,56,66,32.99,17.9,21.52,23.66,31.52,22.47,7.91,9.65,7.08,18.12,24.33,0,13.95,46.21,22.19,19.57,10.96,18.47,0,25.81,747.6,260.2,31.8135,32,66515,220,medium,94,1,25,South,36.3423251,-82.3809148
Frederick,Frederick city,MD,Maryland,2430325,United States,1b0cecfa-569d-4601-bb70-2f09018cef81,2021,49.844,54.478,43.982,68.22,54.131,54,161,12.79,6.67,15.28,1.66,2.8,8.41,0.6,1.53,0.8,3.11,9.39,4.59,3.78,16.95,33.8,0,0,33.8,0.5,12.04,123,454.6,20.4582,20,70887,465,medium,206,6,30,Mid-Atlantic,39.4332895,-77.4155905
